date,temperature,rainfall,humidity
2024-01-11,21.7,0,64
2024-01-12,21.6,0,61
2024-01-13,22.4,0,65
2024-01-14,22.7,0,59
2024-01-15,22.6,0,56
2024-01-16,22.8,0,54
2024-01-17,22.3,0,57
2024-01-18,22.6,0,55
2024-01-19,23.5,0,55
2024-01-20,23.6,0,60
2024-01-21,23.7,0,61
2024-01-22,23.8,0,57
2024-01-23,24,0,58
2024-01-24,23.5,0.19,63
2024-01-25,23.4,0,59
2024-01-26,22.2,0,57
2024-01-27,21.6,0,61
2024-01-28,22.3,0.01,63
2024-01-29,22.2,0,57
2024-01-30,22.5,0,49
2024-01-31,24,0,53
2024-02-01,24.4,0,45
2024-02-02,24.8,0,50
2024-02-03,24.9,0.26,63
2024-02-04,24.3,0,54
2024-02-05,24.6,0,48
2024-02-06,24.6,0,44
2024-02-07,24.9,0,40
2024-02-08,25.3,0,36
2024-02-09,24.8,0,44
2024-02-10,23.7,0,54
2024-02-11,22.8,0,58
2024-02-12,22.8,0,48
2024-02-13,23,0,51
2024-02-14,23.8,0,58
2024-02-15,23.6,0,44
2024-02-16,23.4,0,42
2024-02-17,24.1,0,44
2024-02-18,24.6,0,42
2024-02-19,24.6,0,41
2024-02-20,25.3,0,43
2024-02-21,26.3,0,39
2024-02-22,26.1,0.03,43
2024-02-23,26.3,0,38
2024-02-24,27.4,0.14,44
2024-02-25,25.6,0.4,57
2024-02-26,24.2,0,56
2024-02-27,24.2,0,56
2024-02-28,25.3,0,43
2024-02-29,25.2,0,31
2024-03-01,25.3,0,38
2024-03-02,26,0,38
2024-03-03,26.1,0,42
2024-03-04,27.3,0,38
2024-03-05,27.3,0,33
2024-03-06,27.4,0,32
2024-03-07,28.2,0,33
2024-03-08,28.3,0,37
2024-03-09,28.3,0,39
2024-03-10,27.7,0,38
2024-03-11,27.8,0,39
2024-03-12,28,0,39
2024-03-13,28.4,0,36
2024-03-14,28.8,0.1,43
2024-03-15,29.5,0,34
2024-03-16,28.4,0,33
2024-03-17,27.4,0,42
2024-03-18,27.7,0,34
2024-03-19,27.8,0,37
2024-03-20,28.4,0,33
