temperature
0.2
9.2
5.8
19.4
22.2
10.6
5.8
1.7
2.2
3.5
9.35
1.3
5.48
1
1.2
0.5
1
0.5
1.6
1.8
0.9
3.9
14.1
29
20.6
16.2
2.7
0.3
0.6
0
0.1
0.1
0.1
0.2
1.2
0.7
0.5
0.4
2.2
0.6
1.2
10.3
0.3
0.1
0.3
0
0
0
0.3
2.2
0.3
0
0.6
0
0
0.1
65.3
1.5
1.7
1
1.7
3.6
92.8
56.8
8.9
2.6
9.7
3.1
0.8
1.2
0.5
0.4
1.8
0
0
0
0
0
1
1
3.26
2.55
1.15
7.8
19.26
11.11
4.07
3.58
3.7
5.45
1.57
0.58
0.17
0.4
1.35
0.01
0
2.62
9.49
7.41
2.94
0
10.73
0.55
0
0
0.22
3.02
4.84
0.04
0.09
0.47
0.08
0.3
0.08
0
0
0
0.02
1.24
5.59
2.81
2.5
0.25
16.82
15.03
21.07
7
18.46
22.52
14.96
7.11
4.43
0
0
0
0.04
0
0
0.07
0.22
0
0
0.16
8.64
7.4
0.23
4.3
0.02
0.95
0.14
1.59
4.81
12.91
0.1
0.48
0.32
0.32
0.02
1.04
0.83
3.4
0.2
0.59
0.09
0
0.01
0.16
0.61
0.04
0.01
0
0
0
0
0
0
0.01
0
0
0.04
0.03
0
0
0
0
0
0.25
0.08
0.01
0.38
0.1
0.28
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.19
0
0
0
0.01
0
0
0
0
0
0.26
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.03
0
0.14
0.4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.02
0
0
0
0
0
2.14
1.63
1.33
0
0
0
0
0
0
0
0
0
0
0
0.5
0.27
0
0.01
0.09
15.26
3.3
7.24
8.11
4.01
1.39
7.01
4.24
2.47
2.87
8
5.01
10.24
12.41
2.01
0.45
0.8
25.58
0.56
0.53
0
0.98
0.09
22.17
3.63
64.93
12.68
4.99
12.51
13.07
19.37
10.44
1.82
0.89
0.45
0.07
0.53
0.47
0.07
0
0.21
1.57
3.11
0.42
0.46
2.42
1.23
0.12
0.73
0.2
0.16
0.09
0.04
0.05
4.22
